policy,threshold,ce_top_n,min_top_score_for_baseline,query_count,ndcg@10,mrr@10,recall@10,latency_avg_ms,latency_p50_ms,latency_p95_ms,selected_counts
baseline_or_ce_t0.3_k10_baseScore40,0.3,10,40.0,42,0.8866485206582801,0.9785714285714286,0.5944342482138378,37.67377863931913,16.137145488755777,106.95807676529509,"{""baseline"": 31, ""cross_encoder"": 11}"
baseline_or_ce_t0.3_k10_baseScore160,0.3,10,160.0,42,0.8863588866943539,0.9785714285714286,0.5944342482138378,50.43566654508357,18.979874526849017,113.36185866966844,"{""baseline"": 25, ""cross_encoder"": 17}"
baseline_or_ce_t0.3_k10_baseScore180,0.3,10,180.0,42,0.8863588866943539,0.9785714285714286,0.5944342482138378,56.732967163303066,24.1867289878428,115.17567613045684,"{""cross_encoder"": 20, ""baseline"": 22}"
baseline_or_ce_t0.3_k10_baseScore200,0.3,10,200.0,42,0.8863588866943539,0.9785714285714286,0.5944342482138378,61.049090164791174,85.91320848790929,115.17567613045684,"{""cross_encoder"": 22, ""baseline"": 20}"
baseline_or_ce_t0.3_k10,0.3,10,,42,0.8856708515835541,0.9785714285714286,0.5944342482138378,98.5632668570837,97.4070624797605,118.64140564866828,"{""cross_encoder"": 41, ""baseline"": 1}"
baseline_or_ce_t0.3_k10_baseScore140,0.3,10,140.0,42,0.8849558038569963,0.9785714285714286,0.5944342482138378,42.022056425810746,16.983916488243267,113.10895032074765,"{""baseline"": 29, ""cross_encoder"": 13}"
baseline_or_ce_t0.3_k10_baseScore60,0.3,10,60.0,42,0.8844024733381802,0.9785714285714286,0.5944342482138378,40.11295423454916,16.16820797789842,113.10895032074765,"{""baseline"": 30, ""cross_encoder"": 12}"
baseline_or_ce_t0.3_k10_baseScore80,0.3,10,80.0,42,0.8844024733381802,0.9785714285714286,0.5944342482138378,40.11295423454916,16.16820797789842,113.10895032074765,"{""baseline"": 30, ""cross_encoder"": 12}"
baseline_or_ce_t0.3_k10_baseScore100,0.3,10,100.0,42,0.8844024733381802,0.9785714285714286,0.5944342482138378,40.11295423454916,16.16820797789842,113.10895032074765,"{""baseline"": 30, ""cross_encoder"": 12}"
baseline_or_ce_t0.3_k10_baseScore120,0.3,10,120.0,42,0.8844024733381802,0.9785714285714286,0.5944342482138378,40.11295423454916,16.16820797789842,113.10895032074765,"{""baseline"": 30, ""cross_encoder"": 12}"
